"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
53.231,48,47.9316864013672,0,0,1,0,0,0,0,0,0,0
14.233,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
17.293,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
12.534,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
9.27,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
5.452,1,2.24,0,0,0,0,1,0,0,0,0,0
21.302,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
23.068,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
6.043,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
7.1,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
9.104,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
22.787,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
4.528,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
6.461,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
10.23,1,2.24,0,0,0,0,1,0,0,0,0,0
10.324,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
7.872,1,2.24,0,0,0,0,1,0,0,0,0,0
5.926,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
19.521,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
9.738,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
40.041,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
12.775,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
44.025,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
24.159,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
15.505,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
20.798,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
45.533,50,1065.02231025696,0,0,0,0,0,0,0,0,1,0
17.342,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
10.667,1,2.24,0,0,0,0,1,0,0,0,0,0
9.904,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
35.501,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
